Time,Source,Destination,Protocol,Length,Info
0,192.168.1.9,99.86.129.122,TLSv1.2,97,Encrypted Alert
0.000167,192.168.1.9,99.86.129.122,TCP,66,"52827  >  443 [FIN, ACK] Seq=32 Ack=1 Win=2048 Len=0 TSval=1073993741 TSecr=377740628"
0.027513,99.86.129.122,192.168.1.9,TCP,66,"443  >  52827 [FIN, ACK] Seq=1 Ack=32 Win=122 Len=0 TSval=377752221 TSecr=1073993741"
0.027611,192.168.1.9,99.86.129.122,TCP,66,"[TCP Retransmission] 52827  >  443 [FIN, ACK] Seq=32 Ack=2 Win=2048 Len=0 TSval=1073993768 TSecr=377752221"
0.033517,99.86.129.122,192.168.1.9,TCP,66,443  >  52827 [ACK] Seq=2 Ack=33 Win=122 Len=0 TSval=377752221 TSecr=1073993741
0.540951,192.168.1.9,172.217.14.234,UDP,65,56287  >  443 Len=23
0.591881,172.217.14.234,192.168.1.9,UDP,62,443  >  56287 Len=20
0.774933,67.202.110.21,192.168.1.9,TLSv1.2,90,Application Data
0.77494,67.202.110.21,192.168.1.9,TCP,66,"443  >  53219 [FIN, ACK] Seq=25 Ack=1 Win=31961 Len=0 TSval=3732358321 TSecr=1073984706"
0.775054,192.168.1.9,67.202.110.21,TCP,66,53219  >  443 [ACK] Seq=1 Ack=25 Win=65535 Len=0 TSval=1073994511 TSecr=3732358321
0.775055,192.168.1.9,67.202.110.21,TCP,66,53219  >  443 [ACK] Seq=1 Ack=26 Win=65535 Len=0 TSval=1073994511 TSecr=3732358321
0.775307,192.168.1.9,67.202.110.21,TLSv1.2,90,Application Data
0.775507,192.168.1.9,67.202.110.21,TCP,66,"53219  >  443 [FIN, ACK] Seq=25 Ack=26 Win=65535 Len=0 TSval=1073994511 TSecr=3732358321"
0.841646,67.202.110.21,192.168.1.9,TCP,54,443  >  53219 [RST] Seq=26 Win=0 Len=0
0.84165,67.202.110.21,192.168.1.9,TCP,54,443  >  53219 [RST] Seq=26 Win=0 Len=0
0.909903,192.168.1.9,74.125.195.189,UDP,65,64096  >  443 Len=23
0.939623,74.125.195.189,192.168.1.9,UDP,64,443  >  64096 Len=22
1.378766,192.168.1.9,198.23.90.60,TLSv1.2,97,Encrypted Alert
1.378911,192.168.1.9,198.23.90.60,TCP,66,"52809  >  443 [FIN, ACK] Seq=32 Ack=1 Win=2048 Len=0 TSval=1073995112 TSecr=2551433311"
1.42167,198.23.90.60,192.168.1.9,TCP,66,"443  >  52809 [FIN, ACK] Seq=1 Ack=33 Win=7 Len=0 TSval=2551553363 TSecr=1073995112"
1.4218,192.168.1.9,198.23.90.60,TCP,66,52809  >  443 [ACK] Seq=33 Ack=2 Win=2048 Len=0 TSval=1073995155 TSecr=2551553363
1.679495,192.168.1.9,198.23.90.62,TLSv1.2,97,Encrypted Alert
1.679667,192.168.1.9,198.23.90.62,TCP,66,"52813  >  443 [FIN, ACK] Seq=32 Ack=1 Win=2048 Len=0 TSval=1073995411 TSecr=2468965613"
1.719935,198.23.90.62,192.168.1.9,TCP,66,"443  >  52813 [FIN, ACK] Seq=1 Ack=32 Win=7 Len=0 TSval=2469085661 TSecr=1073995411"
1.719941,198.23.90.62,192.168.1.9,TCP,66,443  >  52813 [ACK] Seq=2 Ack=33 Win=7 Len=0 TSval=2469085661 TSecr=1073995411
1.720089,192.168.1.9,198.23.90.62,TCP,66,"[TCP Retransmission] 52813  >  443 [FIN, ACK] Seq=32 Ack=2 Win=2048 Len=0 TSval=1073995451 TSecr=2469085661"
1.836006,104.254.148.166,192.168.1.9,TLSv1.2,97,Encrypted Alert
1.836013,104.254.148.166,192.168.1.9,TCP,66,"443  >  53229 [FIN, ACK] Seq=32 Ack=1 Win=99 Len=0 TSval=4273030448 TSecr=1073985725"
1.836125,192.168.1.9,104.254.148.166,TCP,66,53229  >  443 [ACK] Seq=1 Ack=32 Win=2047 Len=0 TSval=1073995566 TSecr=4273030448
1.836126,192.168.1.9,104.254.148.166,TCP,66,53229  >  443 [ACK] Seq=1 Ack=33 Win=2047 Len=0 TSval=1073995566 TSecr=4273030448
1.836367,192.168.1.9,104.254.148.166,TLSv1.2,97,Encrypted Alert
1.836575,192.168.1.9,104.254.148.166,TCP,66,"53229  >  443 [FIN, ACK] Seq=32 Ack=33 Win=2048 Len=0 TSval=1073995566 TSecr=4273030448"
1.863964,104.254.148.166,192.168.1.9,TLSv1.2,97,Encrypted Alert
1.863979,104.254.148.166,192.168.1.9,TCP,66,"443  >  53223 [FIN, ACK] Seq=32 Ack=1 Win=167 Len=0 TSval=4273030455 TSecr=1073985749"
1.864084,192.168.1.9,104.254.148.166,TCP,66,53223  >  443 [ACK] Seq=1 Ack=32 Win=2047 Len=0 TSval=1073995593 TSecr=4273030455
1.86411,192.168.1.9,104.254.148.166,TCP,66,53223  >  443 [ACK] Seq=1 Ack=33 Win=2047 Len=0 TSval=1073995593 TSecr=4273030455
1.864255,192.168.1.9,104.254.148.166,TLSv1.2,97,Encrypted Alert
1.864511,192.168.1.9,104.254.148.166,TCP,66,"53223  >  443 [FIN, ACK] Seq=32 Ack=33 Win=2048 Len=0 TSval=1073995593 TSecr=4273030455"
1.866105,104.254.148.166,192.168.1.9,TLSv1.2,97,Encrypted Alert
1.866112,104.254.148.166,192.168.1.9,TCP,66,"443  >  53227 [FIN, ACK] Seq=32 Ack=1 Win=111 Len=0 TSval=4273030456 TSecr=1073985750"
1.866202,192.168.1.9,104.254.148.166,TCP,66,53227  >  443 [ACK] Seq=1 Ack=32 Win=2047 Len=0 TSval=1073995595 TSecr=4273030456
1.86624,192.168.1.9,104.254.148.166,TCP,66,53227  >  443 [ACK] Seq=1 Ack=33 Win=2047 Len=0 TSval=1073995595 TSecr=4273030456
1.866404,192.168.1.9,104.254.148.166,TLSv1.2,97,Encrypted Alert
1.866557,192.168.1.9,104.254.148.166,TCP,66,"53227  >  443 [FIN, ACK] Seq=32 Ack=33 Win=2048 Len=0 TSval=1073995595 TSecr=4273030456"
1.88197,104.254.148.166,192.168.1.9,TCP,54,443  >  53229 [RST] Seq=33 Win=0 Len=0
